review,vader_compound,vader_pos,vader_neg,vader_neu,textblob_polarity,sentiment
awesome product,0.6249,0.804,0.0,0.196,1.0,Positive
great product always samsung,0.6249,0.577,0.0,0.423,0.8,Positive
used 15 day washing quality good intial stage update 3 month,0.4404,0.244,0.0,0.756,0.7,Positive
excellent product noise vibration cleaning small vibration spinning thats normal washing machine,0.5719,0.252,0.0,0.748,0.3,Positive
worthy product,0.4404,0.744,0.0,0.256,0.3333333333333333,Positive
best price,0.6369,0.808,0.0,0.192,1.0,Positive
great pr,0.6249,0.804,0.0,0.196,0.8,Positive
awesome pro,0.6249,0.804,0.0,0.196,1.0,Positive
machine working good totally satisfied product washing quality clothes also good need pre hand washing clothes ai tecnology work totally full value money,0.9296,0.451,0.0,0.549,0.5625,Positive
super product person good hard worker,0.7506,0.607,0.125,0.268,0.24722222222222215,Positive
writing review almost 15 day use buy stand first foremost requirment u bargain service engineer less sound washing little bit sound spinning 1400 rpm ok washing machine make sound performance quite good weight good wobble much worried initially good everyone buy feature good also remove stain collar expected also 15 minute wash cycle prolonged cycle r also drum clean drum dry 9 10 side,0.9457,0.261,0.029,0.71,0.3197222222222223,Positive
good performance like child lock option totally good product worth money thank,0.8993,0.649,0.0,0.351,0.5666666666666667,Positive
good machine,0.4404,0.744,0.0,0.256,0.7,Positive
excellent product silent operation good feature pre loded program,0.765,0.485,0.0,0.515,0.5666666666666667,Positive
writing 15 day use nice priduct minimum sound good service better quality lg already use lg,0.8225,0.398,0.0,0.602,0.55,Positive
machine excellent noise,0.5719,0.649,0.0,0.351,1.0,Positive
review 20 day excellent good product samsung laundry time also ai control operate easily mobile noise cool good looking,0.9217,0.504,0.0,0.496,0.6366666666666667,Positive
got washing machine 25k bbd excellent machine machine silent many handful feature totally controlled via app phone cleanes really well excellent product samsung value money totally,0.9041,0.357,0.0,0.643,0.38571428571428573,Positive
product good performance satisfying scilent operation get notification mobile washing completed thing feel wifi enabled device start washing cycle working machine nothing much use wifi overall product good,0.8316,0.26,0.0,0.74,0.41999999999999993,Positive
perfect 5 member,0.5719,0.787,0.0,0.213,1.0,Positive
good value money,0.6486,0.841,0.0,0.159,0.7,Positive
excellent value money,0.7269,0.859,0.0,0.141,1.0,Positive
product good service low,0.2023,0.414,0.3,0.286,0.35,Positive
happy thanks flipkart,0.765,0.868,0.0,0.132,0.5,Positive
product awesomego,0.0,0.0,0.0,1.0,0.0,Neutral
super product value money easy use thanks flipkart delivery next daybut installation demo take 5 day technician communication bad,0.8225,0.423,0.122,0.455,0.053333333333333344,Positive
excellent purchase till running smoothly creating less noise give final verdict one month use stay tuned,0.7579,0.366,0.0,0.634,0.3083333333333333,Positive
thanks flipkart,0.4404,0.744,0.0,0.256,0.2,Positive
best washing machine noiseless sturdybut inlet pipe short,0.6369,0.375,0.0,0.625,0.5,Positive
perfect companion home job,0.5719,0.552,0.0,0.448,1.0,Positive
product making loud rattling noise,0.0,0.0,0.0,1.0,0.1,Neutral
genuine review samsung 80 kg quality drum poor light strong knock drum sound speaks low quality 75 kg marq front load washing machine robust drum strong good build quality outer front body got rust time ran 5 year 2 time per day 365 day 5 year door nut bolt fixation machine body poor quality mistake open door jolt force maximum opening door unpluck come hand feel like mistake walking collides already open gate opposite door get unpluck easily fall floor cheap quality material button available also smooth door lock knob also cheap overall material used lowcheap quality compensate 20 year motor warranty adding new featureswarrantylow pricebudget balancing cheap drum material handle care review installation product washing clothes one suggestion ever product want buy flipkart first go shop check drum quality button etc decide purchase guess sure company make two type product 1 shop good quality 2 online sale average qualitymay also online product low quality low rate shop price high may product quality good purchased return look product look attractive first time user love product already used washing machine good quality purchase product dont like however online provides middle class people buy budgetary level,0.9769,0.197,0.085,0.719,0.27110192837465563,Positive
waste water intake problem,-0.6705,0.0,0.733,0.267,-0.2,Negative
buy wifi oprations operate remotely anywhere like need physical operationdisappointment,0.3612,0.217,0.0,0.783,-0.05,Positive
using washing machine day found ai part mostly gimmick using basic feature wash clothes,0.0,0.0,0.0,1.0,0.25,Neutral
display flicker frequently sometimes got blank onemonth usedidnt expect samsungsimilar issue found customer,0.0,0.0,0.0,1.0,0.05,Neutral
make much noise,0.0,0.0,0.0,1.0,0.2,Neutral
product design performance impressive worst thing happened installation installation person even aware machine guy told family machine jog facilitate warm water hygiene steam,0.0258,0.177,0.14,0.683,0.2125,Neutral
machine vibrating dry mode,0.0,0.0,0.0,1.0,-0.06666666666666665,Neutral
mark,0.0,0.0,0.0,1.0,0.0,Neutral
good whenever power water get interrupted washing cycle start starting colour cloth getting dull,-0.25,0.154,0.261,0.585,0.1361111111111111,Negative
washing time sound good,0.4404,0.492,0.0,0.508,0.55,Positive
noise heavy compared ifb,0.0,0.0,0.0,1.0,-0.2,Neutral
machine good samsung service installation worstrealy bad experience samsung customercare till date one visit installation long time wait installed usekindly report bad experience samsubg companyi hated,-0.8519,0.08,0.31,0.609,-0.32999999999999996,Negative
great product usecase ai even control app better,0.7906,0.538,0.0,0.462,0.65,Positive
fastest delivery flipkart little bit delay installation demo product good design awesome,0.7165,0.388,0.112,0.499,0.5041666666666667,Positive
overall machine good small family multiple wash mode inlet pipe provided samsung small hence washing machine placed far water source advisable buy extra length wash quality good tried normal winter clothes,0.7003,0.167,0.0,0.833,0.12777777777777777,Positive
machine everything okay apart program built given sometimes need customised like 60 degree celsius 20 minute type customisation one option mode available everything okay,0.6486,0.231,0.0,0.769,0.4666666666666666,Positive
product good delivery fast installation also fast technician knowledgeable overall thanks flipkart team,0.7003,0.345,0.0,0.655,0.25999999999999995,Positive
bought 8kg fully automatic load 28k sale im loving new 8kg fully automatic washing machine convenient easy use add clothes detergent select cycle done save time effort cleaning thorough quiet highly recommend,0.9152,0.314,0.0,0.686,0.2659393939393939,Positive
never thought would buy washing machine online many question purchase big thanks flipkart smooth purchase installation reviewing month use product perfect almost zero noise made heavy wash washing machine unique feature like hygiene wash best market costly value price cleaning superb never doubt samsung thankyou flipkart,0.9662,0.357,0.023,0.62,0.47500000000000003,Positive
good looking excellent setup expected still satisfied,0.8555,0.701,0.0,0.299,0.5249999999999999,Positive
delightful experience shifted fully automatic semi automaticit great experience using samsung washing voice smooth work 80 dry awesome connectivity hassle free use clean clothes totally worth buying product thanku samsung,0.9647,0.457,0.0,0.543,0.525,Positive
samsung build quality good 1400 rpm rising fast vibration soundits amazing happy washing machine,0.886,0.486,0.0,0.514,0.575,Positive
machine wifi enabled design attractive,0.4404,0.42,0.0,0.58,0.8,Positive
heavy vibration,0.0,0.0,0.0,1.0,-0.2,Neutral
nice design good performance ive using ifb machine last 20 year need check samsung deliver similar durability installation got delayed day good experience,0.7717,0.292,0.064,0.644,0.39999999999999997,Positive
like samsung 8 kg washing machine think best washing machine 32000 watch quality good require booster pump hose condition consider washing machine low water pressure problem washing machine good definitely check,0.8481,0.344,0.158,0.498,0.48,Positive
smart thing app working properlynot able pause start,0.4019,0.278,0.0,0.722,0.35714285714285715,Positive
good product working silently,0.4404,0.492,0.0,0.508,0.35,Positive
poor quality plug,-0.4767,0.0,0.608,0.392,-0.4,Negative
bad experience indtal,-0.5423,0.0,0.636,0.364,-0.6999999999999998,Negative
keepup good job,0.4404,0.592,0.0,0.408,0.7,Positive
ok ok,0.5267,1.0,0.0,0.0,0.5,Positive
sup,0.0,0.0,0.0,1.0,0.0,Neutral
best order experience order please go,0.7579,0.619,0.0,0.381,1.0,Positive
parfect product parfect service thanks flipkart vary happy,0.765,0.524,0.0,0.476,0.5,Positive
love performance machine,0.6369,0.677,0.0,0.323,0.5,Positive
excellent,0.5719,1.0,0.0,0.0,1.0,Positive
good product good performance,0.7003,0.744,0.0,0.256,0.7,Positive
nice work,0.4215,0.737,0.0,0.263,0.6,Positive
vibration wise design still need improved vibration adversely affect durability,0.6597,0.413,0.12,0.467,0.7,Positive
good build quality,0.4404,0.592,0.0,0.408,0.7,Positive
good wash quality zero noise washing machine,0.4404,0.326,0.0,0.674,0.7,Positive
nice washing machine delivery installation time much longer,0.4215,0.286,0.0,0.714,0.4,Positive
excellent machine best front load 79 kg segment pro vibration 1200 rpm spinning perfect wash quality superb build quality beautiful design low power water consumption sound con wont say con scope improvement make perfect water drain pipe could better overall value money go without second thought bought diwali sale 26918and got good deal actually mrp mentioned 49999 samsung official website actual cost product 29999 higher anywhere please check manufacturer website thanks flipkart providing wonderful service always trusted platform,0.9925,0.417,0.019,0.565,0.5235294117647059,Positive
wifi ai enabled technology smart thing make user friendly easy operation thanks samsung engineering technology,0.8934,0.515,0.0,0.485,0.3056547619047619,Positive
good perf,0.4404,0.744,0.0,0.256,0.7,Positive
value money product excellent service,0.7269,0.67,0.0,0.33,1.0,Positive
perfect washing machine,0.5719,0.649,0.0,0.351,1.0,Positive
good washing machinevalue money,0.4404,0.492,0.0,0.508,0.7,Positive
beutiful machine wonder full function value money opinion,0.34,0.255,0.0,0.745,0.35,Positive
awesome,0.6249,1.0,0.0,0.0,1.0,Positive
vibrates higher rpmmind good stand rest good,0.7003,0.537,0.0,0.463,0.5499999999999999,Positive
ex,0.0,0.0,0.0,1.0,0.0,Neutral
best washing machine great discount price,0.8519,0.675,0.0,0.325,0.9,Positive
product working properly,0.0,0.0,0.0,1.0,0.0,Neutral
nice useful,0.6908,1.0,0.0,0.0,0.44999999999999996,Positive
satisfied installation demo person switched didnt clear doubt like regarding wifi smart telling look online doubt machine wise good service vv poor satisfied,0.8786,0.476,0.19,0.334,0.3306122448979592,Positive
product good delivery system good,0.7003,0.659,0.0,0.341,0.7,Positive
thank much,0.3612,0.714,0.0,0.286,0.2,Positive
good quality,0.4404,0.744,0.0,0.256,0.7,Positive
service flipkart pathetic would never considered future purchase promise assurance 48hours installation 15 day even technician jeevs pathetic didnt explained anything dont know use,-0.5719,0.146,0.231,0.623,-0.6666666666666666,Negative
thank u,0.3612,1.0,0.0,0.0,0.0,Positive
nice pro,0.4215,0.737,0.0,0.263,0.6,Positive
good washing machine samsung,0.4404,0.492,0.0,0.508,0.7,Positive
super good,0.7783,1.0,0.0,0.0,0.5166666666666666,Positive
overall value money product,0.34,0.444,0.0,0.556,0.0,Positive
display working properly,0.0,0.0,0.0,1.0,0.0,Neutral
best company good quality,0.7964,0.78,0.0,0.22,0.85,Positive
wonderful product best price,0.836,0.798,0.0,0.202,1.0,Positive
effective efficient,0.7096,1.0,0.0,0.0,0.6,Positive
excellent product performance,0.5719,0.649,0.0,0.351,1.0,Positive
complete damage inside machine water coming machine working,-0.4939,0.0,0.314,0.686,0.1,Negative
awesome product thank flipcart packing good using easy,0.9081,0.756,0.0,0.244,0.7111111111111111,Positive
received effective product one month didnt get single wash everytime belt removed drumst top spinning,0.5994,0.274,0.0,0.726,0.3428571428571428,Positive
best washing machine ever washing quality goodand dryer also good almost dry upto 8590no vibrationno noise,0.7964,0.336,0.0,0.664,0.5444444444444444,Positive
product awesome delivery person also good installation demo satisfactory,0.8591,0.613,0.0,0.387,0.85,Positive
worst service support brand actually booked service request 3days till also resolved issue daily talk customer service team told tomorrow clear issue really im satisfied bought product worst service,-0.0314,0.244,0.199,0.557,-0.2333333333333333,Neutral
ok,0.296,1.0,0.0,0.0,0.5,Positive
good service flipkart dileverd time prior information time management great product service flipkart samsung,0.7906,0.368,0.0,0.632,0.5,Positive
22 different type washing mode washing quality good,0.4404,0.293,0.0,0.707,0.35,Positive
gd product samsung,0.0,0.0,0.0,1.0,0.0,Neutral
worth best class 30k best,0.8834,0.837,0.0,0.163,0.7666666666666666,Positive
would recommend,0.3612,0.714,0.0,0.286,0.0,Positive
everyone adviced buy ifb bcoz certain number ifb machine installed around u go samsung jealous washing machine great product samsung easy use easy handle zero noise great washing experience go,0.9246,0.41,0.071,0.519,0.5361904761904762,Positive
want give 0 rating regarding delivery agent common sense behave ledies lot attitude observed cant ready delivery product smoothly argument next level,-0.5122,0.054,0.193,0.753,0.07500000000000001,Negative
getting sound back side,0.0,0.0,0.0,1.0,0.2,Neutral
never purchase product flipkart,0.0,0.0,0.0,1.0,0.0,Neutral
properly cleaning,0.0,0.0,0.0,1.0,0.0,Neutral
super samsung product,0.5994,0.661,0.0,0.339,0.3333333333333333,Positive
installation done properly performance time design occupance value money delivery good installation properly water leaking outlet good product,0.802,0.353,0.0,0.647,0.35,Positive
detergent cabinet automatically removed washing,0.0,0.0,0.0,1.0,0.0,Neutral
purchased online machine leaving water behind machine also sometimes door open service worst everything say resolve phone dont buy mistake also please,0.211,0.239,0.141,0.62,-0.4666666666666666,Positive
function,0.0,0.0,0.0,1.0,0.0,Neutral
great product good experience flipkart,0.7906,0.7,0.0,0.3,0.75,Positive
max mantainance,0.0,0.0,0.0,1.0,0.0,Neutral
2 day really great far exact experience shared using 46 month use,0.7778,0.43,0.0,0.57,0.3833333333333333,Positive
love product good cleaning modern technology less vibration,0.7964,0.542,0.0,0.458,0.3083333333333333,Positive
happy use samsung waching machine,0.5719,0.481,0.0,0.519,0.8,Positive
v good,0.4404,1.0,0.0,0.0,0.7,Positive
product good delivery horrible extremely late,-0.1531,0.279,0.337,0.385,-0.20000000000000004,Negative
great,0.6249,1.0,0.0,0.0,0.8,Positive
best market affordable price flipkart,0.6369,0.512,0.0,0.488,1.0,Positive
samsong good washing 12 kg washing machine ok wellden nice product flipkart worst reply responseble lezy peopleno perchege flipkart,0.4215,0.293,0.152,0.556,0.19999999999999996,Positive
good product voiceless,0.4404,0.592,0.0,0.408,0.7,Positive
supper,0.0,0.0,0.0,1.0,0.0,Neutral
super,0.5994,1.0,0.0,0.0,0.3333333333333333,Positive
delivery scheduled time amazing product washing quantity superb expensive value money,0.8834,0.563,0.0,0.437,0.3666666666666667,Positive
installation technician knowledge producthe fitted pipe demo allno level checkingif ur machine placed without level chekingit harm drumtubwhich important part product,0.5647,0.197,0.0,0.803,0.4,Positive
good service nice looking,0.6908,0.74,0.0,0.26,0.6499999999999999,Positive
excellent product easy use,0.765,0.767,0.0,0.233,0.7166666666666667,Positive
loved feature value money,0.743,0.759,0.0,0.241,0.7,Positive
washing program good machine spin time vibration condition,0.4404,0.293,0.0,0.707,0.7,Positive
good washer considering current time warm water washing clothes drying also well complaint far overall g,0.5719,0.343,0.109,0.547,0.18333333333333332,Positive
great design performance outstanding also service samsung great fast delivery flipkart value money,0.9393,0.619,0.0,0.381,0.5750000000000001,Positive
smooth performance,0.0,0.0,0.0,1.0,0.4,Neutral
